Grupo,Data,Time A,Gols A,Time B,Gols B
Grupo A,2026-06-11,México,,África do Sul,
Grupo A,2026-06-11,Coreia do Sul,,Tchéquia,
Grupo B,2026-06-12,Canadá,,Bósnia e Herzegovina,
Grupo D,2026-06-12,Estados Unidos,,Paraguai,
Grupo D,2026-06-12,Austrália,,Turquia,
Grupo B,2026-06-13,Catar,,Suíça,
Grupo C,2026-06-13,Brasil,,Marrocos,
Grupo C,2026-06-13,Haiti,,Escócia,
Grupo E,2026-06-14,Alemanha,,Curaçau,
Grupo E,2026-06-14,Costa do Marfim,,Equador,
Grupo F,2026-06-14,Países Baixos,,Japão,
Grupo F,2026-06-14,Suécia,,Tunísia,
Grupo G,2026-06-15,Bélgica,,Egito,
Grupo G,2026-06-15,Irã,,Nova Zelândia,
Grupo H,2026-06-15,Espanha,,Cabo Verde,
Grupo H,2026-06-15,Arábia Saudita,,Uruguai,
Grupo I,2026-06-16,França,,Senegal,
Grupo I,2026-06-16,Iraque,,Noruega,
Grupo J,2026-06-16,Argentina,,Argélia,
Grupo J,2026-06-16,Áustria,,Jordânia,
Grupo K,2026-06-17,Portugal,,RD Congo,
Grupo K,2026-06-17,Uzbequistão,,Colômbia,
Grupo L,2026-06-17,Inglaterra,,Croácia,
Grupo L,2026-06-17,Gana,,Panamá,
Grupo A,2026-06-18,Tchéquia,,África do Sul,
Grupo A,2026-06-18,México,,Coreia do Sul,
Grupo B,2026-06-18,Suíça,,Bósnia e Herzegovina,
Grupo B,2026-06-18,Canadá,,Catar,
Grupo C,2026-06-19,Escócia,,Marrocos,
Grupo C,2026-06-19,Brasil,,Haiti,
Grupo D,2026-06-19,Estados Unidos,,Austrália,
Grupo D,2026-06-19,Turquia,,Paraguai,
Grupo E,2026-06-20,Alemanha,,Costa do Marfim,
Grupo E,2026-06-20,Equador,,Curaçau,
Grupo F,2026-06-20,Países Baixos,,Suécia,
Grupo F,2026-06-20,Tunísia,,Japão,
Grupo G,2026-06-21,Bélgica,,Irã,
Grupo G,2026-06-21,Nova Zelândia,,Egito,
Grupo H,2026-06-21,Espanha,,Arábia Saudita,
Grupo H,2026-06-21,Uruguai,,Cabo Verde,
Grupo I,2026-06-22,França,,Iraque,
Grupo I,2026-06-22,Noruega,,Senegal,
Grupo J,2026-06-22,Argentina,,Áustria,
Grupo J,2026-06-22,Jordânia,,Argélia,
Grupo K,2026-06-23,Portugal,,Uzbequistão,
Grupo K,2026-06-23,Colômbia,,RD Congo,
Grupo L,2026-06-23,Inglaterra,,Gana,
Grupo L,2026-06-23,Panamá,,Croácia,
Grupo A,2026-06-24,Tchéquia,,México,
Grupo A,2026-06-24,África do Sul,,Coreia do Sul,
Grupo B,2026-06-24,Suíça,,Canadá,
Grupo B,2026-06-24,Bósnia e Herzegovina,,Catar,
Grupo C,2026-06-24,Escócia,,Brasil,
Grupo C,2026-06-24,Marrocos,,Haiti,
Grupo D,2026-06-25,Turquia,,Estados Unidos,
Grupo D,2026-06-25,Paraguai,,Austrália,
Grupo E,2026-06-25,Curaçau,,Costa do Marfim,
Grupo E,2026-06-25,Equador,,Alemanha,
Grupo F,2026-06-25,Japão,,Suécia,
Grupo F,2026-06-25,Tunísia,,Países Baixos,
Grupo G,2026-06-26,Egito,,Irã,
Grupo G,2026-06-26,Nova Zelândia,,Bélgica,
Grupo H,2026-06-26,Cabo Verde,,Arábia Saudita,
Grupo H,2026-06-26,Uruguai,,Espanha,
Grupo I,2026-06-26,Noruega,,França,
Grupo I,2026-06-26,Senegal,,Iraque,
Grupo J,2026-06-27,Argélia,,Áustria,
Grupo J,2026-06-27,Jordânia,,Argentina,
Grupo K,2026-06-27,Colômbia,,Portugal,
Grupo K,2026-06-27,RD Congo,,Uzbequistão,
Grupo L,2026-06-27,Panamá,,Inglaterra,
Grupo L,2026-06-27,Croácia,,Gana,
